Date,Temperature(C),Humidity(%),CO(mg/m3),NO2(µg/m3),PM2.5(µg/m3),PM10(µg/m3),O3(µg/m3)
2025-01-01 00:00:00,24.48,45.85,1.307,26.71,35.14,127.79,61.35
2025-01-01 01:00:00,21.31,55.79,1.368,29.4,60.02,157.28,36.17
2025-01-01 02:00:00,25.24,56.57,1.525,42.47,75.13,58.04,63.04
2025-01-01 03:00:00,29.62,51.98,1.516,41.1,76.17,116.89,70.33
2025-01-01 04:00:00,20.83,58.39,0.787,34.79,63.75,80.48,56.2
2025-01-01 05:00:00,20.83,64.04,0.919,36.17,90.57,85.39,78.15
2025-01-01 06:00:00,29.9,78.86,1.355,47.78,48.31,82.23,38.39
2025-01-01 07:00:00,25.84,61.75,1.354,29.08,71.44,74.08,31.33
2025-01-01 08:00:00,19.65,62.58,1.355,40.47,78.01,101.46,23.32
2025-01-01 09:00:00,24.71,59.26,2.356,32.98,87.86,75.07,72.44
2025-01-01 10:00:00,19.68,40.81,1.371,32.82,92.79,108.11,59.82
2025-01-01 11:00:00,19.67,59.73,1.541,45.99,46.88,98.49,49.17
2025-01-01 12:00:00,23.21,60.6,1.486,43.25,36.65,92.83,54.2
2025-01-01 13:00:00,12.43,84.63,1.395,43.14,106.94,72.77,33.12
2025-01-01 14:00:00,13.38,58.08,1.105,48.05,83.31,82.7,86.69
2025-01-01 15:00:00,19.19,63.02,1.428,35.21,56.29,122.66,51.94
2025-01-01 16:00:00,16.94,59.65,0.968,41.82,113.78,115.03,51.64
2025-01-01 17:00:00,23.57,48.31,1.129,31.9,77.89,70.67,60.89
2025-01-01 18:00:00,17.46,71.43,1.054,38.24,104.48,102.98,57.22
2025-01-01 19:00:00,14.94,67.52,1.225,33.7,76.69,122.54,53.36
2025-01-01 20:00:00,29.33,67.91,1.894,35.97,126.52,49.92,38.14
2025-01-01 21:00:00,20.87,50.91,0.64,40.95,118.88,116.3,57.07
2025-01-01 22:00:00,22.34,74.03,1.406,26.82,68.78,80.12,78.23
2025-01-01 23:00:00,14.88,45.98,0.716,55.92,99.29,117.12,70.18
2025-01-02 00:00:00,19.28,65.87,1.058,24.94,91.13,77.1,73.9
2025-01-02 01:00:00,22.55,81.9,1.527,22.86,109.22,45.85,42.33
2025-01-02 02:00:00,16.25,50.09,1.219,46.58,50.88,51.17,35.16
2025-01-02 03:00:00,23.88,54.34,0.877,42.92,92.15,101.44,48.11
2025-01-02 04:00:00,19.0,61.0,0.985,41.24,101.46,107.79,50.84
2025-01-02 05:00:00,20.54,54.97,1.404,41.28,31.03,72.87,66.41
2025-01-02 06:00:00,18.99,44.49,0.981,34.88,45.42,119.16,24.61
2025-01-02 07:00:00,31.26,60.69,1.265,26.03,24.02,50.15,72.94
2025-01-02 08:00:00,21.93,49.38,1.214,35.76,68.26,98.02,47.63
2025-01-02 09:00:00,16.71,64.74,1.005,28.23,92.94,63.67,43.6
2025-01-02 10:00:00,26.11,50.81,1.843,44.75,112.56,80.44,34.82
2025-01-02 11:00:00,15.9,75.5,1.39,33.53,76.85,101.42,25.18
2025-01-02 12:00:00,23.04,52.17,0.592,26.75,115.72,74.19,62.35
2025-01-02 13:00:00,12.2,56.78,1.256,31.79,40.5,88.46,51.1
2025-01-02 14:00:00,15.36,68.14,1.001,39.13,32.42,130.19,30.65
2025-01-02 15:00:00,22.98,47.69,1.456,29.36,73.61,82.69,30.57
2025-01-02 16:00:00,25.69,62.27,0.962,26.78,84.6,125.07,44.96
2025-01-02 17:00:00,22.86,73.07,1.166,37.44,74.18,66.11,75.04
2025-01-02 18:00:00,21.42,43.93,1.351,37.45,23.31,115.89,46.11
2025-01-02 19:00:00,20.49,61.85,1.46,29.93,72.77,143.25,27.45
2025-01-02 20:00:00,14.61,62.6,0.84,30.29,42.39,25.85,46.31
2025-01-02 21:00:00,18.4,67.82,1.1,37.32,91.74,76.09,45.91
2025-01-02 22:00:00,19.7,47.63,1.058,20.52,84.16,117.31,9.55
2025-01-02 23:00:00,27.29,46.8,1.004,20.93,51.5,93.91,49.19
2025-01-03 00:00:00,23.72,65.22,1.73,27.82,62.15,111.13,46.54
2025-01-03 01:00:00,13.18,62.97,1.321,32.87,48.52,81.88,60.44
2025-01-03 02:00:00,23.62,62.5,0.822,38.11,73.43,102.6,77.73
2025-01-03 03:00:00,20.07,63.46,1.475,49.75,98.88,95.33,66.9
2025-01-03 04:00:00,18.62,53.2,1.837,43.58,50.36,135.03,45.97
2025-01-03 05:00:00,25.06,62.32,1.51,33.4,87.6,107.63,33.4
2025-01-03 06:00:00,27.15,62.93,0.744,34.81,61.74,110.13,88.6
2025-01-03 07:00:00,26.66,52.86,1.055,24.97,55.18,87.64,50.89
2025-01-03 08:00:00,17.8,78.66,1.58,34.81,72.32,85.37,50.21
2025-01-03 09:00:00,20.45,64.74,0.988,32.11,49.12,87.02,49.64
2025-01-03 10:00:00,23.66,48.09,1.333,38.23,61.16,111.83,52.97
2025-01-03 11:00:00,26.88,66.57,1.432,26.73,45.05,87.37,47.83
2025-01-03 12:00:00,19.6,50.25,0.922,40.19,124.12,108.69,41.4
2025-01-03 13:00:00,21.07,67.87,1.182,50.33,75.88,162.26,41.8
2025-01-03 14:00:00,16.47,71.59,0.228,33.91,57.51,126.13,49.51
2025-01-03 15:00:00,16.02,51.79,0.893,39.02,80.35,90.22,41.85
2025-01-03 16:00:00,26.06,69.63,1.124,41.9,72.19,136.04,39.31
2025-01-03 17:00:00,28.78,64.13,0.826,30.99,69.48,87.76,51.6
2025-01-03 18:00:00,21.64,68.22,1.69,37.24,90.35,38.86,46.18
2025-01-03 19:00:00,27.02,78.97,0.771,35.13,93.94,69.76,72.56
2025-01-03 20:00:00,23.81,57.55,1.068,35.98,61.74,43.88,10.24
2025-01-03 21:00:00,18.77,52.46,1.239,27.27,60.6,89.45,66.37
2025-01-03 22:00:00,23.81,51.1,1.632,35.25,68.12,100.55,68.69
2025-01-03 23:00:00,29.69,51.84,0.769,39.98,17.45,150.29,18.9
2025-01-04 00:00:00,21.82,59.23,1.549,49.51,37.12,109.81,44.86
2025-01-04 01:00:00,29.82,63.41,1.203,44.59,109.17,93.43,44.43
2025-01-04 02:00:00,8.9,62.77,0.906,56.53,116.12,124.88,28.89
2025-01-04 03:00:00,26.11,68.27,1.339,27.33,68.77,33.67,38.33
2025-01-04 04:00:00,22.44,60.13,1.26,43.72,89.41,107.07,33.34
2025-01-04 05:00:00,20.5,74.54,1.02,36.83,82.78,123.13,76.28
2025-01-04 06:00:00,22.46,57.35,1.221,56.9,151.97,55.64,64.04
2025-01-04 07:00:00,12.06,87.2,1.084,26.92,102.99,134.31,69.07
2025-01-04 08:00:00,20.9,66.26,1.234,26.6,71.8,110.15,60.83
2025-01-04 09:00:00,23.79,51.43,1.399,29.01,51.11,87.54,33.06
2025-01-04 10:00:00,29.39,49.29,1.676,13.76,34.84,118.98,42.13
2025-01-04 11:00:00,19.41,64.82,0.829,29.74,80.09,168.12,57.34
2025-01-04 12:00:00,17.96,57.77,1.84,27.41,56.09,105.46,31.67
2025-01-04 13:00:00,19.49,67.14,0.614,36.5,39.44,107.45,60.69
2025-01-04 14:00:00,26.58,64.73,1.154,38.42,58.84,86.22,46.4
2025-01-04 15:00:00,23.64,59.27,1.376,53.76,47.96,74.5,44.38
2025-01-04 16:00:00,19.35,51.53,1.284,44.5,117.18,124.91,60.66
